id,num_rooms,square_footage,location,proximity_to_bathrooms,floor,num_windows,likeability
JPF116,1,189,1,1,1,1,1
JPF117,1,190,1,1,1,1,1
JPF110,1,183,1,1,1,1,1
JPF111,1,183,1,1,1,1,1
JPF113,1,182,1,1,1,1,1
JPF120,1,176,1,1,1,1,1
JPF121,1,175,1,1,1,1,1
JPF123,1,176,1,1,1,1,1
JPF123,1,176,1,1,1,1,1
JPF130,1,238,1,1,1,1,1
JPF126,1,201,1,1,1,1,1
JPF125,1,201,1,1,1,1,1
JPF215,1,205,1,1,2,2,1
JPF216,1,198,1,1,2,1,1
JPF218,1,189,1,1,2,1,1
JPF219,1,187,1,1,2,1,1
JPF213,1,184,1,1,2,1,1
JPF211,1,185,1,1,2,1,1
JPF210,1,185,1,1,2,1,1
JPF222,1,176,1,1,2,1,1
JPF223,1,175,1,1,2,1,1
JPF225,1,172,1,1,2,1,1
JPF232,1,189,1,1,2,1,1
JPF229,1,189,1,1,2,1,1
JPF228,1,201,1,1,2,1,1
JPF227,1,201,1,1,2,1,1
C062,1,198,3,2,1,2,3
C057,1,169,3,1,1,3,1
C055,1,188,3,1,1,1,1
C041,1,213,3,2,1,2,1
C042,1,142,3,2,1,1,3
M123,1,187,3,1,1,2,1
M124,1,203,3,1,1,2,1
M117,1,165,3,1,1,1,3
C169,1,196,3,2,1,1,2
C164,1,152,3,2,1,1,3
C162,1,199,3,1,1,2,2
C141,1,213,3,2,1,2,1
M223,1,189,3,1,2,2,1
M224,1,203,3,1,2,2,1
C264,1,200,3,2,2,1,1
C262,1,211,3,2,2,2,1
C241,1,193,3,2,2,2,1
M323,1,180,3,1,2,2,1
M324,1,193,3,1,2,2,1
C364,1,180,3,2,2,1,1
C362,1,205,3,2,2,2,1
C341,1,209,3,2,2,2,1
PW105,1,206,1,2,1,1,3
PW106,1,206,1,2,1,1,1
PW205,1,204,1,3,2,1,3
PW206,1,203,1,3,2,1,1
PW215,1,198,1,4,2,2,3
PW214,1,203,1,4,2,3,1
PW315,1,207,1,1,2,2,3
P013,1,196,1,1,1,1,1
P105,1,206,1,2,1,1,1
P106,1,206,1,2,1,1,1
P205,1,203,1,1,2,1,1
P206,1,203,1,1,2,1,1
P215,1,201,1,2,2,3,1
P218,1,194,1,2,2,2,1
P305,1,210,1,3,2,2,1
P315,1,206,1,4,2,3,1
P318,1,204,1,4,2,2,1
R204,1,207,1,1,2,2,1
R200,1,200,1,1,2,4,1
R222,1,173,1,2,2,1,2
R223,1,161,1,2,2,1,2
R224,1,170,1,2,2,1,2
R303,1,188,1,2,2,2,1
R305,1,209,1,1,2,1,1
R306,1,217,1,1,2,1,1
T106,1,208,1,2,1,1,1
T105,1,207,1,2,1,1,1
T206,1,204,1,2,2,2,1
T205,1,203,1,2,2,2,1
T214,1,207,1,1,2,2,1
T215,1,190,1,1,2,2,1
T306,1,204,1,3,2,1,1
T305,1,203,1,3,2,1,1
T314,1,207,1,4,2,2,1
T315,1,190,1,4,2,2,1
